nim,nama,password,nip_dosen_wali,matkul_lulus,semester,ip_terakhir
2105004,Queen Maharani,123,19800104,RL118;RL117;RL115;RL116;KU110;KU100;KU106;RL120;RL216;CB401;RL215;KU105;DK300;KU108;RL220;RL217;RL219;RL315;RL218;KU300;UN200;KU409;RL316;RL317;RL318;PT400;RL320;RL322;RL323,5,3.81
2105005,Rizki Akbar,123,19800105,RL118;RL117;RL115;RL116;KU110;KU100;KU106;RL120;RL216;CB401;RL215;KU105;DK300;KU119;RL220;RL217;RL219;RL315;RL218;KU300;RL316;RL317;RL318;PT400;RL320;RL322,5,3.27
2105006,Sania Larasati,123,19800106,RL118;RL117;RL115;RL116;KU110;KU100;KU106;RL120;RL216;CB401;RL215;KU105;DK300;KU108;RL220;RL217;RL219;RL315;RL218;KU300;UN200;RL316;RL317;RL318;PT400;RL320;RL322,5,3.40
2105007,Taufik Hidayat,123,19800107,RL118;RL117;RL115;RL116;KU110;KU100;KU106;RL120;RL216;CB401;RL215;KU105;DK300;KU119;RL220;RL217;RL219;RL315;RL218;KU300;UN200;KU409;RL316;RL317;RL318;PT400;RL320;RL322;RL323,5,3.77
2105008,Ulya Ramadhani,123,19800108,RL118;RL117;RL115;RL116;KU110;KU100;KU106;RL120;RL216;CB401;RL215;KU105;DK300;KU108;RL220;RL217;RL219;RL315;RL218;RL316;RL317;RL318;PT400;RL320,5,2.95
2105009,Vicky Pratama,123,19800101,RL118;RL117;RL115;RL116;KU110;KU100;KU106;RL120;RL216;CB401;RL215;KU105;DK300;KU119;RL220;RL217;RL219;RL315;RL218;KU300;RL316;RL317;RL318;PT400;RL320;RL322,5,3.11
2105010,Wulan Sari,123,19800102,RL118;RL117;RL115;RL116;KU110;KU100;KU106;RL120;RL216;CB401;RL215;KU105;DK300;KU108;RL220;RL217;RL219;RL315;RL218;KU300;UN200;RL316;RL317;RL318;PT400;RL320;RL322,5,3.53
2006001,Yusuf Ramadhan,123,19800103,RL118;RL117;RL115;RL116;KU110;KU100;KU106;RL120;RL216;CB401;RL215;KU105;DK300;KU119;RL220;RL217;RL219;RL315;RL218;KU300;UN200;KU409;RL316;RL317;RL318;PT400;RL320;RL322;RL323;RL405;RL406;RL407;RL408;RL409;RL500,6,3.80
2006002,Zaskia Putri,123,19800104,RL118;RL117;RL115;RL116;KU110;KU100;KU106;RL120;RL216;CB401;RL215;KU105;DK300;KU108;RL220;RL217;RL219;RL315;RL218;KU300;RL316;RL317;RL318;PT400;RL320;RL322;RL323;RL405;RL406;RL407;RL408;RL409,6,3.30
2006003,Alif Maulana,123,19800105,RL118;RL117;RL115;RL116;KU110;KU100;KU106;RL120;RL216;CB401;RL215;KU105;DK300;KU119;RL220;RL217;RL219;RL315;RL218;RL316;RL317;RL318;PT400;RL320;RL322;RL405;RL406;RL407;RL408,6,2.88
2006004,Bunga Aulia,123,19800106,RL118;RL117;RL115;RL116;KU110;KU100;KU106;RL120;RL216;CB401;RL215;KU105;DK300;KU108;RL220;RL217;RL219;RL315;RL218;KU300;UN200;KU409;RL316;RL317;RL318;PT400;RL320;RL322;RL323;RL405;RL406;RL407;RL408;RL409;RL500,6,3.91
2006005,Candra Wijaya,123,19800107,RL118;RL117;RL115;RL116;KU110;KU100;KU106;RL120;RL216;CB401;RL215;KU105;DK300;KU119;RL220;RL217;RL219;RL315;RL218;KU300;RL316;RL317;RL318;PT400;RL320;RL322;RL323;RL405;RL406;RL407;RL408,6,3.20
1907001,Dewi Safitri,123,19800108,RL118;RL117;RL115;RL116;KU110;KU100;KU106;RL120;RL216;CB401;RL215;KU105;DK300;KU119;RL220;RL217;RL219;RL315;RL218;KU300;UN200;KU409;RL316;RL317;RL318;PT400;RL320;RL322;RL323;RL405;RL406;RL407;RL408;RL409;RL500;KI417,7,3.72
1907002,Eko Prasetyo,123,19800101,RL118;RL117;RL115;RL116;KU110;KU100;KU106;RL120;RL216;CB401;RL215;KU105;DK300;KU108;RL220;RL217;RL219;RL315;RL218;KU300;RL316;RL317;RL318;PT400;RL320;RL322;RL323;RL405;RL406;RL407;RL408;RL409;KI417,7,3.15
1907003,Farah Nabila,123,19800102,RL118;RL117;RL115;RL116;KU110;KU100;KU106;RL120;RL216;CB401;RL215;KU105;DK300;KU119;RL220;RL217;RL219;RL315;RL218;RL316;RL317;RL318;PT400;RL320;RL322;RL405;RL406;RL407;RL408;KI417,7,2.93
1907004,Ghani Ramadhan,123,19800103,RL118;RL117;RL115;RL116;KU110;KU100;KU106;RL120;RL216;CB401;RL215;KU105;DK300;KU108;RL220;RL217;RL219;RL315;RL218;KU300;UN200;KU409;RL316;RL317;RL318;PT400;RL320;RL322;RL323;RL405;RL406;RL407;RL408;RL409;RL500;KI417,7,3.86
1907005,Hilda Maharani,123,19800104,RL118;RL117;RL115;RL116;KU110;KU100;KU106;RL120;RL216;CB401;RL215;KU105;DK300;KU119;RL220;RL217;RL219;RL315;RL218;KU300;RL316;RL317;RL318;PT400;RL320;RL322;RL323;RL405;RL406;RL407;RL408;KI417,7,3.25
1808001,Irfan Fauzi,123,19800105,RL118;RL117;RL115;RL116;KU110;KU100;KU106;RL120;RL216;CB401;RL215;KU105;DK300;KU119;RL220;RL217;RL219;RL315;RL218;KU300;UN200;KU409;RL316;RL317;RL318;PT400;RL320;RL322;RL323;RL405;RL406;RL407;RL408;RL409;RL500;KI417;RL501;RL505;RL506;RL510;RL511;KA591,8,3.75
1808002,Jihan Maharani,123,19800106,RL118;RL117;RL115;RL116;KU110;KU100;KU106;RL120;RL216;CB401;RL215;KU105;DK300;KU108;RL220;RL217;RL219;RL315;RL218;KU300;RL316;RL317;RL318;PT400;RL320;RL322;RL323;RL405;RL406;RL407;RL408;RL409;KI417;RL501;RL505;RL506;RL510;RL511,8,3.34
1808003,Khalid Akbar,123,19800107,RL118;RL117;RL115;RL116;KU110;KU100;KU106;RL120;RL216;CB401;RL215;KU105;DK300;KU119;RL220;RL217;RL219;RL315;RL218;RL316;RL317;RL318;PT400;RL320;RL322;RL405;RL406;RL407;RL408;KI417;RL501;RL505;RL506;RL510,8,2.91
1808004,Laila Salsabila,123,19800108,RL118;RL117;RL115;RL116;KU110;KU100;KU106;RL120;RL216;CB401;RL215;KU105;DK300;KU108;RL220;RL217;RL219;RL315;RL218;KU300;UN200;KU409;RL316;RL317;RL318;PT400;RL320;RL322;RL323;RL405;RL406;RL407;RL408;RL409;RL500;KI417;RL501;RL505;RL506;RL510;RL511;KA591,8,3.88
1808005,Muhammad Nizar,123,19800101,RL118;RL117;RL115;RL116;KU110;KU100;KU106;RL120;RL216;CB401;RL215;KU105;DK300;KU119;RL220;RL217;RL219;RL315;RL218;KU300;RL316;RL317;RL318;PT400;RL320;RL322;RL323;RL405;RL406;RL407;RL408;KI417;RL501;RL505;RL506;RL510;RL511,8,3.21
